t_s,V,I,T,cycle
0.0000,0.82,0.012,298.10,1
0.0010,0.85,0.013,298.11,1
0.0020,0.88,0.014,298.09,1
0.0030,0.86,0.013,298.10,1
0.0040,0.84,0.012,298.10,1
0.0050,0.81,0.011,298.12,1
0.0060,0.83,0.012,298.10,2
0.0070,0.86,0.013,298.11,2
0.0080,0.89,0.014,298.11,2
0.0090,0.87,0.013,298.12,2
0.0100,0.85,0.012,298.13,2
0.0110,0.82,0.011,298.12,2
0.0120,0.84,0.012,298.11,3
0.0130,0.87,0.013,298.12,3
0.0140,0.90,0.014,298.14,3
0.0150,0.88,0.013,298.14,3
0.0160,0.86,0.012,298.13,3
0.0170,0.83,0.011,298.12,3
0.0180,0.82,0.012,298.11,4
0.0190,0.85,0.013,298.12,4
0.0200,0.88,0.014,298.12,4
0.0210,0.86,0.013,298.13,4
0.0220,0.84,0.012,298.13,4
0.0230,0.81,0.011,298.12,4
0.0240,0.83,0.012,298.10,5
0.0250,0.86,0.013,298.11,5
0.0260,0.89,0.014,298.11,5
0.0270,0.87,0.013,298.12,5
0.0280,0.85,0.012,298.12,5
0.0290,0.82,0.011,298.11,5
0.0300,0.84,0.012,298.10,6
0.0310,0.87,0.013,298.10,6
0.0320,0.90,0.014,298.11,6
0.0330,0.88,0.013,298.11,6
0.0340,0.86,0.012,298.12,6
0.0350,0.83,0.011,298.11,6
